AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0.0,0.0,0.0,0.0,0,1,1,FALSE,6299,10.0,0,0,FALSE,0,6299,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6298,10.0,0,0,FALSE,0,6298,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6297,10.0,0,0,FALSE,0,6297,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6300,11.0,0,0,FALSE,0,6300,0
7.09673137547702,0.607681024122984,0.14090994108295146,0.0,15,10,1,FALSE,6296,4.3,9,0,FALSE,0,6296,57225579
0.0,0.0,0.0,0.0,0,1,1,FALSE,6291,3.0,0,0,FALSE,0,6291,0
7.534926165588186,0.7305600075750289,0.13271530178583227,0.03333333333333333,15,6,1,FALSE,6288,8.5,5,0,FALSE,0,6288,67664072
0.0,0.0,0.0,0.5,0,2,2,FALSE,6287,8.5,0,0,FALSE,0,6287,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6286,11.0,0,0,FALSE,0,6286,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6285,11.0,0,0,FALSE,0,6285,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6284,11.0,0,0,FALSE,0,6284,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6290,6.0,0,0,FALSE,0,6290,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6278,10.0,0,0,FALSE,0,6278,0
7.4410154305624685,0.211011546025319,0.1343902602180748,0.03333333333333333,16,6,1,FALSE,6277,6.5,5,0,FALSE,0,6277,20284641
7.754604280736685,0.026406416011335344,0.1289556454201168,0.0,16,11,1,FALSE,6276,6.0,10,0,FALSE,0,6276,2056349
0.0,0.0,0.0,0.0,0,1,1,FALSE,6283,9.0,0,0,FALSE,0,6283,0
1.0,0.1769600534286124,1.0,0.0,1,3,1,FALSE,6282,5.0,2,0,FALSE,0,6282,17159771
0.0,0.0,0.0,0.0,0,1,1,FALSE,6275,11.0,0,0,FALSE,0,6275,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6274,11.0,0,0,FALSE,0,6274,0
7.032354405176704,0.7325241088118384,0.14219988674971687,0.011111111111111112,15,10,1,FALSE,6273,8.9,9,0,FALSE,0,6273,73297844
0.0,0.0,0.0,0.0,0,1,1,FALSE,6272,11.0,0,0,FALSE,0,6272,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6271,11.0,0,0,FALSE,0,6271,0
0.0,0.0,0.0,0.0,0,1,1,FALSE,6267,11.0,0,0,FALSE,0,6267,0
7.125767380122781,0.6639639280614722,0.1403357626842387,0.0,18,11,1,FALSE,6266,9.818181818181818,10,0,FALSE,0,6266,70348025
0.0,0.0,0.0,0.0,0,1,1,FALSE,6265,11.0,0,0,FALSE,0,6265,0
5.830761572921852,0.8416064813043717,0.17150418302885434,0.0,13,11,1,FALSE,6264,31.363636363636363,10,0,FALSE,0,6264,83016053
0.0,0.0,0.0,0.0,0,1,1,FALSE,6263,11.0,0,0,FALSE,0,6263,0
7.459432553509209,0.059999287164836226,0.13405845455758708,0.0,15,10,1,FALSE,6262,6.5,9,0,FALSE,0,6262,5938404
0.0,0.0,0.0,0.0,0,1,1,FALSE,6270,11.0,0,0,FALSE,0,6270,0
