ClosenessCentrality,ClusteringCoefficient,NeighborhoodConnectivity,Indegree,Outdegree,name
0.15635939323220538,0.0,45.7,0,10,0
0.0,0.0,10.0,1,0,1
0.0,0.0,13.166666666666666,6,0,2
0.15948241644836073,0.004143277198609997,14.540229885057471,77,10,3
0.1424216645399121,0.00937766410912191,17.91304347826087,59,10,4
0.156301867219917,0.02424331472230385,24.746987951807228,73,10,5
0.0,0.0,10.0,1,0,6
0.15864283646126714,0.026271186440677965,24.45,51,9,7
0.15785338257248369,0.003585771658060815,14.904761904761905,74,10,8
0.15839268350371868,0.024547048509643482,26.54237288135593,49,10,9
0.0,0.0,22.285714285714285,7,0,10
0.1660971173455327,0.01904761904761905,15.533333333333333,5,10,703
0.0,0.0,30.75,4,0,826
0.0,0.0,24.0,7,0,1097
0.16561787255090546,0.0,16.58823529411765,7,10,1287
0.0,0.0,19.5,12,0,1591
1.0,0.0,46.0,1,1,1895
0.1495051224170863,0.009523809523809525,15.933333333333334,5,10,1896
0.0,0.0,87.0,1,0,1897
0.0,0.0,36.333333333333336,3,0,1898
0.0,0.0,50.0,2,0,1899
0.15895664099588566,0.016715352158390134,21.78481012658228,70,9,144
0.0,0.0,42.5,2,0,258
0.0,0.0,18.363636363636363,11,0,491
0.0,0.0,16.818181818181817,11,0,1021
0.0,0.0,40.5,2,0,1418
0.15600652292081899,0.0,14.307692307692308,4,9,1669
0.0,0.0,18.714285714285715,7,0,1900
0.0,0.0,24.5,6,0,1901
0.0,0.0,69.0,1,0,1902
0.0,0.0,17.0,11,0,1903
0.0,0.008735150244584208,17.24074074074074,54,0,121
0.16183775945866116,0.013773796192609182,19.926315789473684,85,10,127
0.0,0.007346938775510204,18.98,50,0,128
0.16404017310361724,0.014873417721518987,19.65,71,9,179
0.11409370563180311,0.0068322981366459624,14.8,60,10,247
0.16394200690912059,0.01772784019975031,21.122222222222224,82,8,249
0.15986737400530504,0.010622710622710623,18.054945054945055,81,10,264
0.1594317911276883,0.02167721518987342,24.7625,70,10,353
0.12826133219834007,0.003225035833731486,13.543478260869565,83,9,424
0.0,0.02046783625730994,22.68421052631579,19,0,426
0.1641965891134964,0.021348314606741574,22.477777777777778,81,9,145
0.16035225881977333,0.014414414414414415,20.533333333333335,66,9,176
0.16040347048490977,0.0225576111652061,23.582278481012658,70,9,177
0.15923381770145312,0.037549407114624504,43.0,14,9,753
0.0,0.013574660633484163,17.442307692307693,52,0,754
0.1675982314173688,0.01954022988505747,42.1,20,10,762
0.0,0.05,37.4,5,0,2064
0.0,0.05,23.0,5,0,3002
0.0,0.0,22.714285714285715,7,0,520
0.15518306812915186,0.01838235294117647,50.8235294117647,7,10,665
0.16515496122544052,0.003952569169960474,15.695652173913043,13,10,852
0.15928010782525964,0.03787878787878788,67.58333333333333,2,10,1394
0.1621948922199198,0.016666666666666666,50.0,7,9,1786
0.15314056306535215,0.0,13.523809523809524,11,10,1842
0.16072857219051684,0.038461538461538464,56.142857142857146,5,9,1904
0.0,0.0,84.0,1,0,1905
0.0,0.0,49.0,2,0,1906
0.15753979663852366,0.05555555555555555,73.0,1,8,1907
0.16307259395546417,0.018444266238973536,21.896551724137932,77,10,124
0.15601056119279352,0.02087719298245614,23.486842105263158,67,9,147
0.0,0.014285714285714285,30.38095238095238,21,0,246
0.1478075338434373,0.007688828584350972,16.0,57,10,248
0.1585927426782096,0.00975177304964539,18.520833333333332,38,10,250
0.1530705541728044,0.0074481074481074485,15.505494505494505,81,10,251
0.12733726310451923,0.00551948051948052,16.089285714285715,47,9,252
0.155954044403043,0.01098901098901099,11.285714285714286,4,10,11
0.0,0.0,14.0,1,0,12
1.0,0.0,9.833333333333334,5,1,13
1.0,0.0,10.666666666666666,5,1,14
0.16775684025941492,0.03333333333333333,52.125,6,10,15
0.0,0.0,12.0,2,0,16
0.15014573627961436,0.0033738191632928477,13.923076923076923,30,9,17
0.0,0.0,12.5,4,0,18
0.0,0.0,14.0,1,0,19
0.16453726453726453,0.011029411764705883,31.11764705882353,7,10,20
0.13663258597628708,0.002631578947368421,9.25,10,10,21
0.0,0.0,44.0,2,0,2074
0.0,0.0,14.25,4,0,809
0.16561787255090546,0.019866838487972507,22.835051546391753,87,10,123
0.15465742879137798,0.001006036217303823,12.014084507042254,61,10,129
0.159596441054973,0.017901234567901235,21.08641975308642,71,10,143
0.15921699159930258,0.023106840539922215,24.93617021276596,86,8,367
0.15914972273567468,0.018070818070818073,20.791208791208792,81,10,427
0.15443946188340807,0.0,12.575,32,8,718
0.0,0.0,15.375,8,0,1050
0.0,0.0,14.9,10,0,2254
0.16879043324838267,0.005494505494505495,14.071428571428571,4,10,2761
1.0,0.0,10.833333333333334,2,4,3147
0.0,0.0,17.5,6,0,3169
0.0,0.0,18.4,5,0,3619
0.15287642045454544,0.015151515151515152,42.666666666666664,3,9,3893
0.0,0.0,18.25,4,0,4408
0.0,0.0,26.5,2,0,4953
0.0,0.006331976481230212,16.686567164179106,67,0,368
0.164456450556647,0.014411027568922305,21.771929824561404,47,10,717
0.1626940207855311,0.01875532821824382,22.52173913043478,60,9,856
0.16279509480849225,0.0,12.090909090909092,1,10,975
0.0,0.0,17.0,1,0,1908
0.0,0.0,15.25,4,0,1909
0.15375,0.0,8.916666666666666,2,10,1910
1.0,0.014285714285714285,12.933333333333334,13,2,92
0.0,0.0,15.0,5,0,1702
1.0,0.03333333333333333,10.833333333333334,5,1,1711
0.0,0.0,15.333333333333334,3,0,1833
0.0,0.0,15.25,4,0,1916
0.14822192710638926,0.00641025641025641,9.23076923076923,3,10,1917
0.0,0.0,16.0,2,0,1918
0.0,0.0,20.0,1,0,1919
0.14473368233994524,0.00641025641025641,12.307692307692308,3,10,1920
0.0,0.0,15.5,2,0,1921
0.16119115720815846,0.0,11.3,0,10,22
0.0,0.0,12.533333333333333,15,0,23
0.0,0.0,10.0,2,0,24
0.14104844371635852,0.0,14.666666666666666,2,1,25
0.0,0.0,10.0,1,0,26
0.13364229012373055,0.0,6.916666666666667,2,10,27
0.12607995314101625,0.0,8.8,2,3,28
0.14053537284894838,0.0,12.88888888888889,6,3,29
0.161789971008268,0.04945054945054945,62.42857142857143,4,10,30
0.15803550357920132,0.006756756756756757,15.567567567567568,27,10,31
0.1687006661814925,0.004761904761904762,10.6,6,9,32
0.16418764302059496,0.0016666666666666668,12.4,15,10,1022
0.0,0.0,13.5,4,0,901
0.0,0.0,27.4,5,0,960
0.0,0.0,11.76923076923077,13,0,1511
0.0,0.0,12.333333333333334,3,0,1624
0.15406835553056059,0.0,9.666666666666666,3,9,1836
0.0,0.0,47.0,2,0,1911
0.0,0.0,13.666666666666666,6,0,1912
0.0,0.0,11.2,5,0,1913
0.0,0.0,13.5,2,0,1914
0.0,0.0,18.285714285714285,7,0,1915
0.14421420367534457,0.0,7.384615384615385,3,10,846
0.0,0.0,10.0,5,0,1516
0.0,0.0,11.75,4,0,1517
0.15663496023701856,0.0,8.421052631578947,9,10,962
1.0,0.0,10.428571428571429,5,2,1656
0.1394202965601795,0.0,9.3125,6,10,2201
0.15141694302080194,0.006024096385542169,16.216867469879517,73,10,126
0.16374157791784394,0.02190923317683881,23.34722222222222,62,10,174
0.15056960127910463,0.005847953216374269,10.894736842105264,9,10,637
0.0,0.005494505494505495,16.428571428571427,14,0,870
0.0,0.0,15.0,8,0,1219
0.0,0.0,19.833333333333332,6,0,1954
0.16620704870111963,0.0,14.25,6,10,2237
0.14523941489746245,0.0,12.75,10,10,2524
0.0,0.0,20.0,5,0,2630
0.0,0.0,22.666666666666668,3,0,3637
0.0,0.0,24.0,2,0,3874
0.0,0.0,13.0,2,0,957
0.15350720798736692,0.0,16.785714285714285,4,10,1028
0.164456450556647,0.013157894736842105,42.65,10,10,1199
0.16338203800590964,0.007575757575757576,12.583333333333334,2,10,1459
0.15462171938736244,0.007575757575757576,9.916666666666666,3,9,1699
0.13150774601789222,0.0,7.454545454545454,2,9,1700
0.15760983263598327,0.0,9.909090909090908,2,9,1701
0.15521104272359715,0.0,10.909090909090908,2,9,1703
0.15215086337473493,0.0,9.0,2,10,33
0.0,0.0,12.0,2,0,34
0.0,0.0,17.0,2,0,35
0.16671737987884153,0.057692307692307696,71.07692307692308,3,10,36
0.0,0.0,12.0,1,0,37
0.4594594594594595,0.0011494252873563218,11.366666666666667,21,9,38
0.15649261288396127,0.007575757575757576,12.416666666666666,2,10,39
0.0,0.0,12.0,1,0,40
0.0,0.0,12.6,5,0,41
0.0,0.0,11.5,2,0,42
0.149135179273996,0.008333333333333333,8.0625,6,10,43
0.0,0.00909090909090909,14.090909090909092,11,0,725
0.0,0.0,14.11111111111111,9,0,1376
0.0,0.0,14.4,5,0,2002
0.625,0.009523809523809525,9.466666666666667,5,10,2007
0.0,0.0,19.0,3,0,2167
0.0,0.0,30.0,1,0,2168
0.0,0.0,17.666666666666668,3,0,2169
0.0,0.0,17.25,4,0,2170
0.0,0.0,13.0,7,0,614
0.0,0.0,11.75,4,0,1378
0.1448693603826647,0.0,7.666666666666667,5,10,1922
0.1613049994647254,0.007352941176470588,11.117647058823529,7,10,1923
0.1462438124818014,0.0,7.571428571428571,1,6,1924
0.0,0.0,12.5,2,0,1925
0.1448693603826647,0.0032679738562091504,9.222222222222221,8,10,1926
0.0,0.0,12.0,1,0,1927
0.0,0.0,12.5,8,0,1928
0.1594064905181306,0.05714285714285714,53.13333333333333,5,10,1929
0.0,0.0,11.75,4,0,1604
0.0,0.03333333333333333,12.166666666666666,6,0,1679
0.1543010752688172,0.0,9.076923076923077,3,10,1930
0.0,0.0,27.333333333333332,3,0,1931
0.9090909090909091,0.0,7.5,1,9,1932
0.0,0.0,15.5,2,0,1933
0.16617955222234476,0.06060606060606061,60.75,3,9,1934
0.0,0.0,14.333333333333334,3,0,1935
0.0,0.0,14.857142857142858,7,0,1936
0.12548905352534753,0.0,5.0,0,10,44
0.0,0.0,11.25,4,0,45
0.0,0.0,10.0,1,0,46
0.0,0.0,12.0,3,0,47
0.0,0.0,10.333333333333334,3,0,48
0.14326804221736236,0.007352941176470588,10.0,8,9,49
0.0,0.0,10.714285714285714,7,0,50
0.0,0.0,19.2,5,0,51
0.0,0.0,10.0,1,0,52
0.0,0.0,15.8,5,0,53
0.0,0.0,14.5,4,0,54
0.16174221077207954,0.04395604395604396,56.642857142857146,4,10,101
0.0,0.07142857142857142,13.285714285714286,7,0,338
0.0,0.0,16.666666666666668,6,0,2366
0.0,0.16666666666666666,19.333333333333332,3,0,2893
0.0,0.0,14.0,2,0,3065
0.0,0.0,13.25,4,0,3593
0.0,0.0,16.0,4,0,3840
